2026-07-14 07:58:55 | INFO     | root | Logging initialized -> console + logs/app-2026-07-14.log
2026-07-14 07:58:55 | INFO     | app | AI Ecommerce service started
2026-07-14 08:00:40 | INFO     | root | Logging initialized -> console + logs/app-2026-07-14.log
2026-07-14 08:00:40 | INFO     | app | AI Ecommerce service started
2026-07-14 08:00:40 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-14 08:04:32 | INFO     | root | Logging initialized -> console + logs/app-2026-07-14.log
2026-07-14 08:04:32 | INFO     | app | AI Ecommerce service started
2026-07-14 08:04:32 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-14 08:04:50 | INFO     | root | Logging initialized -> console + logs/app-2026-07-14.log
2026-07-14 08:04:50 | INFO     | app | AI Ecommerce service started
2026-07-14 08:04:50 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-14 08:05:00 | INFO     | root | Logging initialized -> console + logs/app-2026-07-14.log
2026-07-14 08:05:00 | INFO     | app | AI Ecommerce service started
2026-07-14 08:05:00 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-14 08:10:39 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-14 08:10:39 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-14 08:10:39 | DEBUG    | chromadb.config | Starting component System
2026-07-14 08:10:39 | DEBUG    | chromadb.config | Starting component Posthog
2026-07-14 08:10:40 | INFO     | app.services.chat_service | Processing chat request
2026-07-14 08:10:40 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: What is the return policy?
2026-07-14 08:10:40 | DEBUG    | app.services.embedding | Embedding single text (26 chars)
2026-07-14 08:10:40 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-14 08:10:40 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-14 08:10:40 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000215C5A9F230>
2026-07-14 08:10:40 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-14 08:10:40 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-14 08:10:40 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-14 08:10:40 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-14 08:10:40 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Tue, 14 Jul 2026 07:10:45 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-14 08:10:45 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-14 08:10:45 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-14 08:10:45 | DEBUG    | httpcore.connection | close.started
2026-07-14 08:10:45 | DEBUG    | httpcore.connection | close.complete
2026-07-14 08:10:45 | INFO     | app.services.RetrievalService | Retrieved 5 chunks
2026-07-14 08:10:45 | INFO     | app.providers.OllamaLLMProvider | Generating response using model 'mistral'
2026-07-14 08:10:45 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=120.0 socket_options=None
2026-07-14 08:10:45 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000215C5A67ED0>
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-14 08:10:45 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-14 08:11:36 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Tue, 14 Jul 2026 07:11:36 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-14 08:11:36 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-07-14 08:11:36 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-14 08:11:36 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-14 08:11:36 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-14 08:11:36 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-14 08:11:36 | INFO     | app.services.chat_service | Chat completed in 56.24 seconds (tool_used=False)
2026-07-14 08:11:36 | INFO     | app.http | <<< POST /chat -> 200 (57056.07ms)
2026-07-14 08:11:53 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-14 08:11:53 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-14 08:11:53 | INFO     | app.services.chat_service | Processing chat request
2026-07-14 08:11:53 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: i wanna cancle my order
2026-07-14 08:11:53 | DEBUG    | app.services.embedding | Embedding single text (23 chars)
2026-07-14 08:11:53 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-14 08:11:53 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-14 08:11:54 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000215C5AEF4D0>
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Tue, 14 Jul 2026 07:11:54 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-14 08:11:54 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-14 08:11:54 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-14 08:11:54 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-14 08:11:54 | DEBUG    | httpcore.connection | close.started
