2026-07-22 09:00:48 | INFO     | root | Logging initialized -> console + logs/app-2026-07-22.log
2026-07-22 09:00:48 | INFO     | app | AI Ecommerce service started
2026-07-22 09:00:48 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-22 09:01:45 | INFO     | app.http | >>> GET /health from 127.0.0.1
2026-07-22 09:01:45 | INFO     | app.http | <<< GET /health -> 200 (5.65ms)
2026-07-22 09:01:55 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-22 09:01:55 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-22 09:01:56 | DEBUG    | chromadb.config | Starting component System
2026-07-22 09:01:56 | DEBUG    | chromadb.config | Starting component Posthog
2026-07-22 09:01:56 | INFO     | app.services.chat_service | Processing chat request
2026-07-22 09:01:56 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: I want to return a damaged product I received
2026-07-22 09:01:56 | DEBUG    | app.services.embedding | Embedding single text (45 chars)
2026-07-22 09:01:56 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-22 09:01:56 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-22 09:01:57 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017B41C0A660>
2026-07-22 09:01:57 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-22 09:01:57 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-22 09:01:57 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-22 09:01:57 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-22 09:01:57 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Wed, 22 Jul 2026 08:02:00 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-22 09:02:00 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-22 09:02:00 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-22 09:02:00 | DEBUG    | httpcore.connection | close.started
2026-07-22 09:02:00 | DEBUG    | httpcore.connection | close.complete
2026-07-22 09:02:00 | INFO     | app.services.RetrievalService | Retrieved 5 chunks
2026-07-22 09:02:00 | INFO     | app.providers.OllamaLLMProvider | Generating response using model 'mistral'
2026-07-22 09:02:00 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=120.0 socket_options=None
2026-07-22 09:02:00 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017B41C25310>
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-22 09:02:00 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
