2026-07-21 07:41:11 | INFO     | root | Logging initialized -> console + logs/app-2026-07-21.log
2026-07-21 07:41:11 | INFO     | app | AI Ecommerce service started
2026-07-21 07:41:39 | INFO     | root | Logging initialized -> console + logs/app-2026-07-21.log
2026-07-21 07:41:39 | INFO     | app | AI Ecommerce service started
2026-07-21 07:41:39 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-21 07:54:33 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-21 07:54:33 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-21 07:54:33 | DEBUG    | chromadb.config | Starting component System
2026-07-21 07:54:33 | DEBUG    | chromadb.config | Starting component Posthog
2026-07-21 07:54:34 | INFO     | app.services.chat_service | Processing chat request
2026-07-21 07:54:34 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: hiii
2026-07-21 07:54:34 | DEBUG    | app.services.embedding | Embedding single text (4 chars)
2026-07-21 07:54:34 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-21 07:54:34 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-21 07:54:34 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001C2CCB7F230>
2026-07-21 07:54:34 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-21 07:54:34 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-21 07:54:34 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-21 07:54:34 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-21 07:54:34 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-21 07:54:36 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Tue, 21 Jul 2026 06:54:36 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-21 07:54:36 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-21 07:54:36 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-21 07:54:36 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-21 07:54:36 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-21 07:54:36 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-21 07:54:36 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-21 07:54:36 | DEBUG    | httpcore.connection | close.started
2026-07-21 07:54:36 | DEBUG    | httpcore.connection | close.complete
2026-07-21 07:54:36 | INFO     | app.services.RetrievalService | Retrieved 5 chunks
2026-07-21 07:54:36 | INFO     | app.providers.OllamaLLMProvider | Generating response using model 'mistral'
2026-07-21 07:54:36 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=120.0 socket_options=None
2026-07-21 07:54:37 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001C2CCB47ED0>
2026-07-21 07:54:37 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-21 07:54:37 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-21 07:54:37 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-21 07:54:37 | DEBUG    | httpcore.http11 | send_request_body.complete
