2026-07-20 08:43:21 | INFO     | root | Logging initialized -> console + logs/app-2026-07-20.log
2026-07-20 08:43:21 | INFO     | app | AI Ecommerce service started
2026-07-20 08:44:15 | INFO     | root | Logging initialized -> console + logs/app-2026-07-20.log
2026-07-20 08:44:15 | INFO     | app | AI Ecommerce service started
2026-07-20 08:44:15 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-20 08:44:33 | INFO     | root | Logging initialized -> console + logs/app-2026-07-20.log
2026-07-20 08:44:33 | INFO     | app | AI Ecommerce service started
2026-07-20 08:44:33 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-07-20 08:45:24 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-20 08:45:24 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-20 08:45:25 | DEBUG    | chromadb.config | Starting component System
2026-07-20 08:45:25 | DEBUG    | chromadb.config | Starting component Posthog
2026-07-20 08:45:25 | INFO     | app.services.chat_service | Processing chat request
2026-07-20 08:45:25 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: hi iwannna ask you
2026-07-20 08:45:25 | DEBUG    | app.services.embedding | Embedding single text (18 chars)
2026-07-20 08:45:25 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-20 08:45:25 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-20 08:45:25 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000028045E4F230>
2026-07-20 08:45:25 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 08:45:25 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 08:45:25 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 08:45:25 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 08:45:25 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Mon, 20 Jul 2026 07:45:30 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-20 08:45:30 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-20 08:45:30 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-20 08:45:30 | DEBUG    | httpcore.connection | close.started
2026-07-20 08:45:30 | DEBUG    | httpcore.connection | close.complete
2026-07-20 08:45:30 | INFO     | app.services.RetrievalService | Retrieved 5 chunks
2026-07-20 08:45:30 | INFO     | app.providers.OllamaLLMProvider | Generating response using model 'mistral'
2026-07-20 08:45:30 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=120.0 socket_options=None
2026-07-20 08:45:30 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000028045E17ED0>
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 08:45:30 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 08:46:06 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Mon, 20 Jul 2026 07:46:06 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-20 08:46:06 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-07-20 08:46:06 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-20 08:46:06 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-20 08:46:06 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-20 08:46:06 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-20 08:46:06 | INFO     | app.services.chat_service | Chat completed in 41.15 seconds (tool_used=False)
2026-07-20 08:46:06 | INFO     | app.http | <<< POST /chat -> 200 (41952.02ms)
2026-07-20 08:46:30 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-20 08:46:30 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-20 08:46:30 | INFO     | app.services.chat_service | Processing chat request
2026-07-20 08:46:30 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: i wanna check status of my order
2026-07-20 08:46:30 | DEBUG    | app.services.embedding | Embedding single text (32 chars)
2026-07-20 08:46:30 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-20 08:46:30 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-20 08:46:30 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000028045E9F4D0>
2026-07-20 08:46:30 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 08:46:30 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 08:46:30 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 08:46:30 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 08:46:30 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Mon, 20 Jul 2026 07:46:31 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-20 08:46:31 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-20 08:46:31 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-20 08:46:31 | DEBUG    | httpcore.connection | close.started
2026-07-20 08:46:31 | DEBUG    | httpcore.connection | close.complete
2026-07-20 08:46:31 | INFO     | app.services.RetrievalService | Retrieved 5 chunks
2026-07-20 08:46:31 | INFO     | app.providers.OllamaLLMProvider | Generating response using model 'mistral'
2026-07-20 08:46:31 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=120.0 socket_options=None
2026-07-20 08:46:31 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000028045E5E650>
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 08:46:31 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 08:46:44 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Mon, 20 Jul 2026 07:46:44 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-20 08:46:44 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-07-20 08:46:44 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-20 08:46:44 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-20 08:46:44 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-20 08:46:44 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-20 08:46:44 | ERROR    | app.services.chat_service | Failed to parse TOOL_CALL from:  TOOL_CALL:get_order_status|customer_id|order_id - invalid literal for int() with base 10: 'customer_id'
2026-07-20 08:46:44 | INFO     | app.services.chat_service | Chat completed in 14.29 seconds (tool_used=False)
2026-07-20 08:46:44 | INFO     | app.http | <<< POST /chat -> 200 (14306.15ms)
2026-07-20 08:59:06 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-20 08:59:06 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-20 08:59:06 | INFO     | app.services.chat_service | Processing chat request
2026-07-20 08:59:06 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: i wanna check status of my order with id 4
2026-07-20 08:59:06 | DEBUG    | app.services.embedding | Embedding single text (42 chars)
2026-07-20 08:59:06 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-20 08:59:06 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-20 08:59:07 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000280463D4510>
2026-07-20 08:59:07 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 08:59:07 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 08:59:07 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 08:59:07 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 08:59:07 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 08:59:11 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Mon, 20 Jul 2026 07:59:11 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-20 08:59:11 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-20 08:59:11 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-20 08:59:11 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-20 08:59:11 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-20 08:59:11 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-20 08:59:11 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-20 08:59:11 | DEBUG    | httpcore.connection | close.started
2026-07-20 08:59:11 | DEBUG    | httpcore.connection | close.complete
2026-07-20 08:59:11 | INFO     | app.services.RetrievalService | Retrieved 5 chunks
2026-07-20 08:59:11 | INFO     | app.providers.OllamaLLMProvider | Generating response using model 'mistral'
2026-07-20 08:59:11 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=120.0 socket_options=None
2026-07-20 08:59:12 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000280463D1370>
2026-07-20 08:59:12 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 08:59:12 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 08:59:12 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 08:59:12 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 08:59:12 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 08:59:43 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Mon, 20 Jul 2026 07:59:43 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-20 08:59:43 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2026-07-20 08:59:43 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-20 08:59:43 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-20 08:59:43 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-20 08:59:43 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-20 08:59:43 | ERROR    | app.services.chat_service | Failed to parse TOOL_CALL from:  TOOL_CALL:get_order_status|customer_id|4 - invalid literal for int() with base 10: 'customer_id'
2026-07-20 08:59:43 | INFO     | app.services.chat_service | Chat completed in 36.32 seconds (tool_used=False)
2026-07-20 08:59:43 | INFO     | app.http | <<< POST /chat -> 200 (36347.77ms)
2026-07-20 09:03:44 | INFO     | root | Logging initialized -> console + logs/app-2026-07-20.log
2026-07-20 09:03:44 | INFO     | app | AI Ecommerce service started
2026-07-20 09:03:46 | INFO     | root | Logging initialized -> console + logs/app-2026-07-20.log
2026-07-20 09:03:46 | INFO     | app | AI Ecommerce service started
2026-07-20 09:04:12 | INFO     | app.http | >>> POST /chat from 127.0.0.1
2026-07-20 09:04:12 | INFO     | app.services.embedding | Embedding service initialized with provider: OllamaEmbeddingProvider
2026-07-20 09:04:12 | INFO     | app.services.chat_service | Processing chat request
2026-07-20 09:04:12 | INFO     | app.services.RetrievalService | Searching collection 'ecom_documents' for: i wanna check status of my order
2026-07-20 09:04:12 | DEBUG    | app.services.embedding | Embedding single text (32 chars)
2026-07-20 09:04:12 | DEBUG    | app.providers.ollama | Requesting embedding from Ollama (model=nomic-embed-text)
2026-07-20 09:04:12 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=30.0 socket_options=None
2026-07-20 09:04:13 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000280463DC5A0>
2026-07-20 09:04:13 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 09:04:13 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 09:04:13 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 09:04:13 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 09:04:13 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 09:04:14 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Mon, 20 Jul 2026 08:04:14 GMT'), (b'Transfer-Encoding', b'chunked')])
2026-07-20 09:04:14 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-20 09:04:14 | DEBUG    | app.providers.ollama | Embedding received: 768 dimensions
2026-07-20 09:04:14 | DEBUG    | httpcore.connection | close.started
2026-07-20 09:04:14 | DEBUG    | httpcore.connection | close.complete
2026-07-20 09:04:14 | INFO     | app.services.RetrievalService | Retrieved 5 chunks
2026-07-20 09:04:14 | INFO     | app.providers.OllamaLLMProvider | Generating response using model 'mistral'
2026-07-20 09:04:14 | DEBUG    | httpcore.connection | connect_tcp.started host='localhost' port=11434 local_address=None timeout=120.0 socket_options=None
2026-07-20 09:04:14 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000028045E67790>
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-20 09:04:14 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-20 09:04:14 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:15 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:15 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:15 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:16 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:16 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:16 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:17 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:17 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
2026-07-20 09:04:17 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\tmi\\Desktop\\sumer_2026\\Ai\\ecom\\ai\\logs\\app-2026-07-20.log')}
